Id,Title,FullDescription,LocationRaw,LocationNormalized,ContractType,ContractTime,Company,Category,SalaryRaw,SalaryNormalized,SourceName
69688094,Team Coordinator,"Our Client has Outreach Services across North and West London which offer individualised packages of support for adults and children across a number of London Boroughs in North and West London. The service has two registered offices  one based in Islington and a second based in Hounslow. We are looking for an experienced Team Coordinator to manage the delivery of one part of this service based from the North London registered office. You will be responsible for recruiting and managing your own team of Support Workers and the ongoing development of a personalised community support. Through effective staff management and leadership, you will ensure that customers who receive a package of support receive this in a manner that meets their expectations. To do this you will need to have relevant experience that enables you to take up the role of a team Coordinator and be able to demonstrate an excellent ability to lead and develop your staff team. You will have substantial experience of working with disabled children and adults, have substantial experience of staff supervision and development. Some experience of managing budgets is preferable but you must be able to demonstrate an excellent understanding of Personalisation and risk assessments. Above all else, you must have a good sense of humour, be prepared to work flexibly and to be able to communicate effectively with stakeholders such as care managers, social workers, health professionals and family members. In return, you can expect to be part of a strong and friendly Community Management team across North and West London and to receive regular support and **** supervision with your line manager. As well as this, you will be supported to achieve your own personal development in line with your own agreed Personal Development Plan. Working locally within the area and with minimum day to day supervision, this is a great opportunity for an experienced Team Coordinator to take responsibility for a localised area and to take the lead on managing the day to day service, driving positive change and being responsible for achieving and managing your time and work commitments. Location: South London Role: Permanent Salary: GBP**** Due to the high number of applications that we receive, only the most suitable candidates will be contacted. Please ensure that you have attached your CV to your application before you press apply so that we can assess your suitability for the role. Before you decide whether or not to apply, please ensure you have read ALL the information provided and make sure that you have the relevant skills experience for the role. GOOD LUCK with your application We shall ensure fairness and equal opportunities throughout our workforce and in service delivery. We welcome applications from suitably skilled candidates regardless of ethnicity, gender, disability, sexuality, religion or age.",North London,North London,,permanent,Diamond Resourcing Plc,Logistics & Warehouse Jobs,"25,000",25000,jobsite.co.uk
69688096,INJECTION MOULD SETTER,"We are currently recruiting an Injection Mould Setter to join the team at a Lancashire based manufacturing facility. Responsibilities:  Daily support in the daily running of production  Tool changing/setting and operating activities  Tool Maintenance  Optimise processes and ensure correct moulding conditions are used  Process and control monitoring  Troubleshooting Requirements:  Experience of working with plastics within a manufacturing environment  Experience of safety procedures such as lock, Tag clear and try  Technical knowledge of Injection Moulding and Multicavity tooling  Good communication skills  Team player  BPTA qualification is advantageous","Lancashire,Oldham,Rochdale,Manchester,Stockport,Bolton,Bury",UK,,permanent,Morgan Ryder Associates Limited,Manufacturing Jobs,25k pa + 4 ON 4 OFF,25000,jobsite.co.uk
69688098,Team Secretary,"Team Secretary London, c. ****k Bray Leino is a UK top 20 integrated communications group with energetic businesses spanning advertising, digital, ****D spaces, media, direct response, training and PR. More than **** people work here across sites in London, Filleigh, Bristol, Chester and Edinburgh, serving a wide range of national and international businesses. We have an exciting new opportunity for a high calibre Team Secretary to provide full administrative support to four senior members of our London team. Responsibilities include:  Diary Management  Travel arrangements (including booking taxis, trains, flights and hotels and preparing travel itineraries)  Organising meetings and organising facilities and where required  Invoice and expenses management  Managing telephone calls and handling enquiries  Responding to and prioritising of emails  Submitting timesheet data into system  Ad hoc project and administration work  To keep Outlook contacts updated  To organise/coordinate Client functions/events/meetings both internally and externally  To be proactive in seeking work from managers. You ll have previous experience in a busy Team Secretary/PA role working with Senior Managers. You ll be highly organised, with the ability to work to tight deadlines while maintaining a high level of accuracy in your work. A competent user of Microsoft Office you ll have previous experience of diary management using Outlook. The rewards We offer a competitive salary and benefits package, with outstanding training and progression.",London,London,,permanent,Bray Leino Limited,Admin Jobs,c. 25k,25000,jobsite.co.uk
69688100,Service / installation Engineer,"Service/installation Engineer Circa ****  Vehicle  Phone Uniform AMI Security are currently seeking an experienced Service Engineer or Installation Engineer to service and maintain customer CCTV, Access Control Fire systems. Job Requirements: The successful candidate must have the ability to fault find and repair effectively. Attention to detail Communication skills essential. Must have the ability to work on own and as part of a team. To work under pressure the individual must be reliable and professional with a high degree of personal discipline. Knowledge and experience of CCTV / Access Control Fire Systems a distinct advantage Applicants must live within **** mile or Wokingham","South East,Not Specified",UK,,permanent,Jobsite Jobs,Engineering Jobs,25000.00 GBP Annual + PLUS PACKAGE AND VAN,25000,jobsite.co.uk
69688101,Intranet Developer,"OVERVIEW The Intranet Developer will be responsible for redesigning and rewriting the existing intranet as well as developing, maintaining and supporting new applications and adding functionality to existing ones. DUTIES  Redesigning and rewriting the existing classic ASP intranet in ASP.net.  Developing, and enhancing new systems.  Working closely with Management and users in designing and writing the above from specification to final implementation, ensuring that they contain the required level of functionality, content and appearance.  Providing technical support for database issues where necessary.  Writing reports, maintaining data integrity and acting on database change requests, for Management and Users.  Carrying out adhoc tasks as requested by the IT Manager. SKILLS ATTRIBUTES REQUIRED  Proven experience in developing intranets and websites in ASP.NET together with a good working knowledge of building and designing Microsoft SQL Server databases.  Good general IT skills in Microsoft based technologies.  Able to organise own workload effectively and prioritise tasks  Able to work closely and communicate effectively with colleagues at all levels.  Analytical and problem solving skills. SKILLS ATTRIBUTES ADVANTAGOUS  Knowledge and Experience in developing intranets in Classic ASP.  Good IT skills, including knowledge in supporting Microsoft Servers, Microsoft Networking, web based applications and Microsoft Office.","Reading,Berkshire",UK,,permanent,Everyone Everywhere Ltd,Other/General Jobs,25000 per annum,25000,jobsite.co.uk
69688102,1st / 2nd Line IT Support Engineer,"Title: 1st / 2nd Line IT Support Engineer Location: London Salary: ****  **** (neg) Skills: Windows Server ****  **** Active Directory, MS Exchange, SMTP / POP, Firewall Administration If you are an experienced 1st / 2nd Line IT Support Engineer with demonstrable skills in supporting MS Server based environments with experience of MS Exchange, Active Directory, SMTP / POP and some basic Firewall administration then this could be the ideal opportunity for you With your positive work ethos, a genuine desire to learn and exceptional communication skills, my client can offer you the chance to develop further skills in providing support in a virtual office environment including VMware and Citrix Xen Server. My client, a leading brand in digital marketing, email marketing, data strategy and eCRM are actively recruiting for a bright, enthusiastic 1st / 2nd Line IT Support Engineer to join their friendly support function. Working as part of a fun, energetic team, the suitable Support Engineer will be responsible for the daytoday operations of the server infrastructure systems ensuring effective expert support and service is delivered. Once fully trained in the required infrastructure and virtualisation set up, the successful 1st / 2nd Line Support Engineer can expect to hold the following responsibilities:  Provide expert technical support  Provide proactive design input to proposed architectural and technical solutions as required  Support the program of continuous tactical enhancements and improvements to infrastructure  Work closely with Project delivery teams to ensure that all new infrastructure services are integrated smoothly and effectively into production operation  To work closely with 3rd party vendors to maintain the integrity of our data/voice communications network, business application servers and information databases.  Recommend changes in line with developing technologies and the IT Strategy.  Researching and recommending improvements to the service in line with best practice, which will include assessing and recommending suitable tools to be used for the job.  Making recommendations relating to the development and ongoing quality of the service. This includes being flexible as business needs will require outofhours working. To be considered, the suitable 1st / 2nd Line Support Engineer must have excellent communication skills, adopt a genuine proactive approach to work and be prepared to work hard to achieve their goals. In addition, it is also essential to have competency in virtualisation support. Skills required:  Windows Server ****  **** support / administration  Active Directory Administration, ideally group policies  MS Exchange Administration desirable  SMTP / POP  Firewall Administration  Basic skills of SQL server knowledge desirable.  Clear and logical thinking agility and problem solving skills to tackle complex technical systems and data communication issues.  Good communication skills and the ability to explain technical concepts and issues simply and concisely.  Collaborative approach and customer facing individual. The role would ideally suit someone who is willing to put in some hard work and demonstrate commitment to my client. In return, the successful 1st / 2nd Line Technical Support Engineer can expect to develop their career with a company who genuinely look after their staff, with many employees receiving promotions, extra responsibilities and challenges together with the rewards associated with this. Apply now for an initial consultation Service 1st Recruitment Ltd operates advertises as an Employment Agency for permanent positions and as an Employment Business for contract/temporary positions.",London,London,,permanent,Service 1st,IT Jobs,"20,000 - 25,000",22500,jobsite.co.uk
69688103,Telemarketing Executive,"Location: Reading, Berks Salary: ****  **** Depending on Experience Additional **** uncapped OTE Reference: JS **** Job Description for Telemarketing Executive: This is an exciting opportunity to join an expanding team in a well established profitable company. There is also the opportunity for interested candidates to move their career forward within the company. Our client is recruiting for an experienced B2B Telemarketing Executive. The role is to make Business to Business calls to create new business opportunities for the company. Job Requirements for Telemarketing Executive: Previous B2B Telemarketing experience Benefits of the Telemarketing Executive Role: Basic salary range 20k  ****k (dependant on experience) OTE ****K uncapped Benefits  20 days holiday plus public holidays, free on site parking Hours  Monday  Friday **** hrs If you have the above experience and would like to be considered please APPLY now New Business People is an agency who have taken specialism to a new level, we truly are specialists in recruiting for phone based Business Generation roles including Business Development, Telemarketing, Telesales, Account Management, Internal/Inside Sales and Team Management roles. If you have business to business experience in any of the above and are considering your next career move we would love to hear from you. Please note that we can only reply to applicants who have the above experience.",Reading,Reading,,permanent,New Business People Limited,Sales Jobs,"22K base, 25K OTE uncapped",23500,jobsite.co.uk
69688105,Trainer / Assessor,"Trainer / Assessor  Our Client wishes to appoint a Trainer / Assessor with experience of Electronics or engineering to offer training (levels 2and3) and support to learners within an Apprenticeship framework. You will also ensure compliance with Ofsted standards. It is essential you have experience of teaching young people (in the main ****  ****) at NVQ level 2and3 or equivalent and have assessor qualifications A**** D**** and D**** The role requires you to develop and introduce level 2 and Level 3 Apprenticeship programmes, advising on curriculum, materials, quality, delivery, assessment and all associated policies and procedures. The emphasis will be on a high quality intake of apprentices receiving the best apprenticeship it is possible for them to have. You will have a small number of apprentices and the time and resources to offer them a course that gives real benefit. The appointed trainer / assessor must have a real desire to offer the best training possible and a practical understanding of electronics / engineering. Previous electronics / engineering teaching experience would be advantageous. It would be beneficial for the trainer / assessor to have a Degree/HNC in Electronics, Engineering or equivalent. You must have Assessor qualifications (A**** D**** D****) and experience of teaching NVQ levels 2 and 3 or equivalent. There will be travel associated with the role and this would be easiest for candidates with their own transport.",Leeds,Leeds,,permanent,Permanent Futures Ltd,Teaching Jobs,GBP25000.00 - GBP38000.00 per annum,31500,jobsite.co.uk
69688106,PRODUCTION MANAGER,"Niche manufacturer require a Production Manager who has proven experience in the timber structures industry. The role will be to schedule planning, manage and motivate workshop and assembly staff to meet deadlines and produce quality products.","Helston,Cornwall",UK,,permanent,Smith Reed Recruitment Ltd,Manufacturing Jobs,"c25,000",25000,jobsite.co.uk
69688107,R M Technical Planner,"We currently require an experienced R M Technical Planner to join a busy team in Brixton, on a full time, permanent basis. You will be responsible for planning of R M works, including applying for permits, TMA, suspensions and extensions. Responsible for planning emergency works and ensure they are dispatched on time for the gangs to complete. Prioritise and plan works in the backlog. Attend to emergency works ensuring all notice and streetworks compliance is in place. Ensure all jobs are planned correctly and investigated thoroughly. Conduct all planning in compliance with streetworks legislation. Ability to work on own initiative and hit daily targets for planned works. Ensure all permits are correctly applied for. Investigate jobs which are not done and report accordingly. Keep daily records of works planned and issues encountered. Liaise closely with the Client to ensure works are competed in a timely manner and on the first hit. Report daily to the line manager of outputs, problems, issues. Carry out other duties as requested by the line manager. It would be ideal for you to have the following skills/experience: Knowledge of London streetworks IT Literate with good knowledge of Microsoft Word Excel It would be desirable for you to have the following: INSIGHT/ EToN noticing systems SAP ECC (WAMI Technical Planning training)",London,London,,permanent,McGinley Support Services Limited,Trade & Construction Jobs,21k - 25k pa + + Package,23000,jobsite.co.uk
